Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
project-1-team-8,com.sismics.reader.activity,LoginActivity,onClick,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,86
project-1-team-8,com.sismics.reader.activity,LoginActivity,tryConnect,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,134
project-1-team-8,com.sismics.reader.resource,SubscriptionResource,feed,Long Parameter List,The method has 7 parameters. ,44
project-1-team-8,com.sismics.reader.resource,BaseResource,init,Long Statement,The length of the statement "USER_AGENT="Sismics Reader Android " + ApplicationUtil.getVersionName(context) + "/Android "+ Build.VERSION.RELEASE+ "/"+ Build.MODEL;" is 134.,66
project-1-team-8,com.sismics.reader.resource,CategoryResource,update,Long Parameter List,The method has 5 parameters. ,53
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,onCreateDialog,Long Statement,The length of the statement "builder.setTitle(R.string.add_subscription).setView(view).setPositiveButton(R.string.add`null).setNegativeButton(R.string.cancel`null);" is 135.,49
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,show,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,70
project-1-team-8,com.sismics.reader.fragment,AddSubscriptionDialogFragment,onClick,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,78
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,onCreate,Long Statement,The length of the statement "SearchRecentSuggestions suggestions=new SearchRecentSuggestions(getActivity()`RecentSuggestionsProvider.AUTHORITY`RecentSuggestionsProvider.MODE);" is 146.,25
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,onCreate,Long Statement,The length of the statement "versionPref.setSummary(getString(R.string.version) + " " + ApplicationUtil.getVersionName(getActivity())+ " | "+ getString(R.string.build)+ " "+ ApplicationUtil.getVersionCode(getActivity()));" is 192.,25
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,onPreferenceClick,Long Statement,The length of the statement "SearchRecentSuggestions suggestions=new SearchRecentSuggestions(getActivity()`RecentSuggestionsProvider.AUTHORITY`RecentSuggestionsProvider.MODE);" is 146.,41
project-1-team-8,com.sismics.reader.fragment,ArticlesDefaultFragment,onSubscriptionError,Long Statement,The length of the statement "aq.id(R.id.emptyList).text(R.string.error_loading_subscriptions).getTextView().setCompoundDrawablesWithIntrinsicBounds(0`0`0`R.drawable.character_sad);" is 151.,33
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onError,Long Statement,The length of the statement "aq.id(R.id.emptyList).text(R.string.error_loading_articles).getTextView().setCompoundDrawablesWithIntrinsicBounds(0`0`0`R.drawable.character_sad);" is 146.,78
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Complex Method,Cyclomatic complexity of the method is 13,157
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Long Parameter List,The method has 5 parameters. ,157
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Magic Number,The method contains a magic number: 2,157
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,initFragment,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@357dbb3f,157
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onScroll,Magic Number,The method contains a magic number: 2,193
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onActionItemClicked,Complex Method,Cyclomatic complexity of the method is 11,233
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onActionItemClicked,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@357dbb3f,233
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,onActivityResult,Magic Number,The method contains a magic number: 100,306
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Complex Conditional,The conditional expression url != null && type != null && (type.equals("image/jpeg") || type.equals("image/jpg") || type.equals("image/png")|| type.equals("image/gif")) is complex.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement,The length of the statement "html=URLEncoder.encode("<!DOCTYPE html>" + "<html>" + "<head>"+ "<meta http-equiv=\"Content-Type\" content=\"text/html; charset=UTF-8\" />"+ "<meta name=\"viewport\" content=\"initial-scale=1` minimum-scale=1` width=device-width` maximum-scale=1` user-scalable=no\" />"+ "<style>"+ "img { max-width: 100%; height: auto; display: block; margin: 8px; }\n"+ "iframe { display: none; }\n"+ "pre { max-width: 100%; overflow: hidden; }\n"+ "a {"+ " text-decoration: none;"+ " color: #0099cc;"+ "}\n"+ "body {"+ " color: #191919;"+ " font-size: " + fontSize + "pt;"+ " font-family: 'sans-serif-light'` 'sans-serif';"+ " line-height: 150%; }"+ "</style>"+ "</head>"+ "<body>"+ html+ "</body>"+ "</html>"`"UTF-8").replaceAll("\\+"`"%20");" is 729.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement,The length of the statement "aq.id(R.id.date).text((!creator.isEmpty() ? creator + " " : "") + DateUtils.getRelativeTimeSpanString(json.optLong("date")`new Date().getTime()`0).toString());" is 159.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement,The length of the statement "String faviconUrl=PreferenceUtil.getServerUrl(getActivity()) + "/api/subscription/" + subscription.optString("id")+ "/favicon";" is 127.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement,The length of the statement "aq.id(R.id.imgFavicon).image(new BitmapAjaxCallback().url(faviconUrl).fallback(R.drawable.ic_launcher).animation(AQuery.FADE_IN_NETWORK).cookie("auth_token"`PreferenceUtil.getAuthToken(getActivity())));" is 202.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement,The length of the statement "if (url != null && type != null && (type.equals("image/jpeg") || type.equals("image/jpg") || type.equals("image/png")|| type.equals("image/gif"))) {" is 148.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Long Statement,The length of the statement "aq.id(R.id.imgEnclosure).progress(R.id.progressEnclosure).image(url`true`true`800`AQuery.GONE`null`AQuery.FADE_IN_NETWORK).clicked(new OnClickListener(){" is 153.,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onCreateView,Magic Number,The method contains a magic number: 800,67
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Long Statement,The length of the statement "set.play(ObjectAnimator.ofFloat(expandedImageView`View.X`startBounds.left`finalBounds.left)).with(ObjectAnimator.ofFloat(expandedImageView`View.Y`startBounds.top`finalBounds.top)).with(ObjectAnimator.ofFloat(expandedImageView`View.SCALE_X`startScale`1f)).with(ObjectAnimator.ofFloat(expandedImageView`View.SCALE_Y`startScale`1f));" is 330.,178
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Long Statement,The length of the statement "set.play(ObjectAnimator.ofFloat(expandedImageView`View.X`startBounds.left)).with(ObjectAnimator.ofFloat(expandedImageView`View.Y`startBounds.top)).with(ObjectAnimator.ofFloat(expandedImageView`View.SCALE_X`startScaleFinal)).with(ObjectAnimator.ofFloat(expandedImageView`View.SCALE_Y`startScaleFinal));" is 301.,178
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Magic Number,The method contains a magic number: 2,178
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,zoomImageFromThumb,Magic Number,The method contains a magic number: 2,178
project-1-team-8,com.sismics.reader.fragment,ArticleFragment,onClick,Long Statement,The length of the statement "set.play(ObjectAnimator.ofFloat(expandedImageView`View.X`startBounds.left)).with(ObjectAnimator.ofFloat(expandedImageView`View.Y`startBounds.top)).with(ObjectAnimator.ofFloat(expandedImageView`View.SCALE_X`startScaleFinal)).with(ObjectAnimator.ofFloat(expandedImageView`View.SCALE_Y`startScaleFinal));" is 301.,285
project-1-team-8,com.sismics.reader.util,PreferenceUtil,getServerUrl,Magic Number,The method contains a magic number: 4,136
project-1-team-8,com.sismics.reader.core.model.jpa,FeedSubscription,toString,Long Statement,The length of the statement "return Objects.toStringHelper(this).add("id"`id).add("userId"`userId).add("feedId"`feedId).add("title"`title).toString();" is 121.,236
project-1-team-8,com.sismics.reader.core.model.context,AppContext,waitForAsync,Empty catch clause,The method has an empty catch block.,116
project-1-team-8,com.sismics.reader.core.model.context,AppContext,waitForAsync,Magic Number,The method contains a magic number: 60,116
project-1-team-8,com.sismics.reader.core.service,IndexingService,searchArticles,Long Statement,The length of the statement "UserArticleCriteria userArticleCriteria=new UserArticleCriteria().setUserId(userId).setVisible(false).setArticleIdIn(Lists.newArrayList(articleMap.keySet()));" is 158.,110
project-1-team-8,com.sismics.reader.core.service,FeedService,scheduler,Magic Number,The method contains a magic number: 10,79
project-1-team-8,com.sismics.reader.core.service,FeedService,synchronizeAllFeeds,Magic Number,The method contains a magic number: 600,85
project-1-team-8,com.sismics.reader.core.service,FeedService,updateUnreadCounts,Long Statement,The length of the statement "List<UserArticleDto> userArticleDtoList=new UserArticleDao().findByCriteria(new UserArticleCriteria().setArticleId(article.getId()).setFetchAllFeedSubscription(true).setUnread(true));" is 183.,170
project-1-team-8,com.sismics.reader.core.service,FeedService,updateUnreadCounts,Long Statement,The length of the statement "FeedSubscriptionDto feedSubscriptionDto=new FeedSubscriptionDao().findFirstByCriteria(new FeedSubscriptionCriteria().setId(userArticleDto.getFeedSubscriptionId()));" is 164.,170
project-1-team-8,com.sismics.reader.core.service,FeedService,updateUnreadCounts,Long Statement,The length of the statement "new FeedSubscriptionDao().updateUnreadCount(feedSubscriptionDto.getId()`feedSubscriptionDto.getUnreadUserArticleCount() - 1);" is 125.,170
project-1-team-8,com.sismics.reader.core.service,FeedService,createNewFeed,Magic Number,The method contains a magic number: 100,222
project-1-team-8,com.sismics.reader.core.service,FeedService,createNewFeed,Magic Number,The method contains a magic number: 4000,222
project-1-team-8,com.sismics.reader.core.service,FeedService,updateExistingFeed,Magic Number,The method contains a magic number: 100,242
project-1-team-8,com.sismics.reader.core.service,FeedService,updateExistingFeed,Magic Number,The method contains a magic number: 4000,242
project-1-team-8,com.sismics.reader.core.service,FeedService,sanitizeLanguage,Magic Number,The method contains a magic number: 10,258
project-1-team-8,com.sismics.reader.core.service,FeedService,processExistingArticles,Long Statement,The length of the statement "List<ArticleDto> existingArticles=articleDao.findByCriteria(new ArticleCriteria().setFeedId(feed.getId()).setGuidIn(guidIn));" is 125.,292
project-1-team-8,com.sismics.reader.core.service,FeedService,articleNeedsUpdate,Long Statement,The length of the statement "return !Strings.nullToEmpty(current.getTitle()).equals(Strings.nullToEmpty(newArticle.getTitle())) || !Strings.nullToEmpty(current.getDescription()).equals(Strings.nullToEmpty(newArticle.getDescription()));" is 206.,311
project-1-team-8,com.sismics.reader.core.service,FeedService,updateArticle,Magic Number,The method contains a magic number: 4000,317
project-1-team-8,com.sismics.reader.core.service,FeedService,createNewArticles,Long Statement,The length of the statement "List<FeedSubscriptionDto> subscriptions=feedSubscriptionDao.findByCriteria(new FeedSubscriptionCriteria().setFeedId(feed.getId()));" is 131.,336
project-1-team-8,com.sismics.reader.core.service,FeedService,getArticleToRemove,Long Statement,The length of the statement "ArticleDto localArticle=new ArticleDao().findFirstByCriteria(new ArticleCriteria().setGuidIn(Lists.newArrayList(oldestArticle.getGuid())));" is 139.,376
project-1-team-8,com.sismics.reader.core.service,FeedService,getArticleToRemove,Long Statement,The length of the statement "List<ArticleDto> newerLocalArticles=new ArticleDao().findByCriteria(new ArticleCriteria().setFeedId(localArticle.getFeedId()).setPublicationDateMin(oldestArticle.getPublicationDate()));" is 185.,376
project-1-team-8,com.sismics.reader.core.service,FeedService,isFaviconUpdated,Long Statement,The length of the statement "boolean newDay=feed.getLastFetchDate() == null || DateTime.now().getDayOfYear() != new DateTime(feed.getLastFetchDate()).getDayOfYear();" is 136.,438
project-1-team-8,com.sismics.reader.core.service,FeedService,isFaviconUpdated,Magic Number,The method contains a magic number: 7,438
project-1-team-8,com.sismics.reader.core.service,FeedService,logParsingError,Complex Conditional,The conditional expression e instanceof UnknownHostException || e instanceof FileNotFoundException || e instanceof ConnectException is complex.,502
project-1-team-8,com.sismics.reader.core.service,FeedService,createInitialUserArticle,Long Statement,The length of the statement "UserArticleCriteria userArticleCriteria=new UserArticleCriteria().setUserId(userId).setSubscribed(true).setFeedId(feedSubscription.getFeedId());" is 144.,514
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,createJob,Empty catch clause,The method has an empty catch block.,89
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,createJob,Empty catch clause,The method has an empty catch block.,89
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,createJob,Long Statement,The length of the statement "archiveInputStream=closer.register(new ZipArchiveInputStream(new FileInputStream(importFile)`Charsets.ISO_8859_1.name()));" is 122.,89
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Complex Method,Cyclomatic complexity of the method is 8,196
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Empty catch clause,The method has an empty catch block.,196
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Empty catch clause,The method has an empty catch block.,196
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,processImportFile,Long Statement,The length of the statement "archiveInputStream=closer.register(new ZipArchiveInputStream(new FileInputStream(importFile)`Charsets.ISO_8859_1.name()));" is 122.,196
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Complex Method,Cyclomatic complexity of the method is 12,297
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Long Statement,The length of the statement "FeedSubscriptionCriteria feedSubscriptionCriteria=new FeedSubscriptionCriteria().setUserId(user.getId()).setFeedUrl(feedUrl);" is 125.,297
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Long Statement,The length of the statement "JobEvent jobEvent=new JobEvent(job.getId()`JOB_EVENT_FEED_IMPORT_SUCCESS.getValue()`feedSubscriptionList.iterator().next().getFeedRssUrl());" is 140.,297
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importOutline,Long Statement,The length of the statement "log.error(MessageFormat.format("Error creating the subscription to the feed at URL {0} for user {1}"`feedUrl`user.getId())`e);" is 126.,297
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importFeedFromStarred,Complex Method,Cyclomatic complexity of the method is 9,424
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importFeedFromStarred,Long Statement,The length of the statement "log.info(MessageFormat.format("Error importing the feed at URL {0} for user {1}''s stared articles. Maybe it doens't exist anymore?"`rssUrl`user.getId())`e);" is 157.,424
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,importFeedFromStarred,Magic Number,The method contains a magic number: 100,424
