Project Name,Package Name,Architecture Smell,Cause of the Smell
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa; com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.core.dao.jpa.dto.
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.context; com.sismics.reader.core.event.
project-1-team-8,com.sismics.reader.core.service,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.core.dao.jpa.dto.
project-1-team-8,com.sismics.reader.core.listener.async,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArticleDeletedAsyncListener]; [ArticleUpdatedAsyncListener]; [RebuildIndexAsyncListener]; [SubscriptionImportAsyncListener]; [ArticleCreatedAsyncListener]; [FaviconUpdateRequestedAsyncListener]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.listener.async,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.lucene; com.sismics.reader.core.event.
project-1-team-8,com.sismics.reader.core.event,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SubscriptionImportedEvent]; [ArticleCreatedAsyncEvent]; [ArticleUpdatedAsyncEvent]; [FaviconUpdateRequestedEvent]; [RebuildIndexAsyncEvent]; [ArticleDeletedAsyncEvent]; [PasswordChangedEvent]; [UserCreatedEvent]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.lucene,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.dao.lucene; com.sismics.reader.core.model.context; com.sismics.reader.core.service; com.sismics.reader.core.dao.lucene
project-1-team-8,com.sismics.reader.core.dao.file.rss,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AtomUrlGuesser; RssReader; TestRssReader; GuidFixer; XmlReader]; [AtomLink]; [RssReader.FeedType]; [RssReader.Element]. LCC (Lack of Component Cohesion) = 0.5
project-1-team-8,com.sismics.reader.core.dao.file.rss,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.dao.file.rss; com.sismics.util; com.sismics.reader.core.dao.file.rss
project-1-team-8,com.sismics.reader.core.dao.file.html,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RssExtractor; TestRssExtractor]; [FaviconExtractor; FaviconDownloader; TestFaviconExtractor; TestFaviconDownloader]; [FeedChooserStrategy]. LCC (Lack of Component Cohesion) = 0.43
project-1-team-8,com.sismics.reader.core.dao.jpa,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ConfigDao]; [JobDao]; [RoleBaseFunctionDao]; [FeedSynchronizationDao]; [JobEventDao]; [ArticleDao]; [UserDao; TestJpa]; [UserArticleDao]; [AuthenticationTokenDao]; [FeedDao]; [LocaleDao]; [FeedSubscriptionDao]; [CategoryDao]. LCC (Lack of Component Cohesion) = 0.93
project-1-team-8,com.sismics.reader.core.dao.jpa,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.util.context.
project-1-team-8,com.sismics.reader.core.dao.jpa,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.dao.jpa; com.sismics.reader.core.util; com.sismics.reader.core.dao.jpa
project-1-team-8,com.sismics.reader.core.dao.jpa.dto,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserArticleDto]; [JobDto]; [ArticleDto]; [FeedDto]; [JobEventDto]; [UserDto]; [FeedSubscriptionDto]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.jpa.criteria,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FeedCriteria]; [JobCriteria]; [ArticleCriteria]; [JobEventCriteria]; [UserCriteria]; [FeedSubscriptionCriteria]; [UserArticleCriteria]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UserMapper]; [UserArticleMapper]; [FeedSubscriptionMapper]; [JobMapper]; [ArticleMapper]; [JobEventMapper]; [FeedMapper]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.dao.jpa.mapper,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.jpa.dto; com.sismics.util.jpa.
project-1-team-8,com.sismics.reader.core.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util.jpa; com.sismics.reader.core.dao.jpa
project-1-team-8,com.sismics.reader.core.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TransactionUtil]; [UserUtil]; [DirectoryUtil]; [ConfigUtil]; [StreamUtil]; [EntityManagerUtil]; [LuceneUtil]; [LuceneUtil.LuceneRunnable]. LCC (Lack of Component Cohesion) = 1.0
project-1-team-8,com.sismics.reader.core.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.util; com.sismics.util.jpa; com.sismics.reader.core.util
project-1-team-8,com.sismics.reader.core.util.sanitizer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util
project-1-team-8,com.sismics.reader.core.util.sanitizer,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.util.sanitizer; com.sismics.util; com.sismics.reader.core.util.sanitizer
project-1-team-8,com.sismics.reader.core.util.jpa,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util.jpa
project-1-team-8,com.sismics.reader.core.util.jpa,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.util.jpa; com.sismics.util.context.
project-1-team-8,com.sismics.reader.core.util.jpa,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.util.jpa; com.sismics.util.jpa.filter.
project-1-team-8,com.sismics.reader.core.util.jpa,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.core.util.jpa; com.sismics.util.jpa; com.sismics.reader.core.util.jpa
project-1-team-8,com.sismics.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.core.dao.jpa; com.sismics.reader.core.dao.file.rss
project-1-team-8,com.sismics.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UrlUtil; TestArticleSanitizer; TestUrlUtil]; [NetworkUtil; TestNetworkUtil]; [ResourceUtil; TestResourceUtil]; [DateUtil; TestDateUtil]; [AdblockUtil; TestAdblockUtil]; [MessageUtil]; [LocaleUtil]; [HttpUtil]; [EnvironmentUtil]; [JsonValidationUtil]; [TestTextSanitizer]; [TestCertUtil]; [MessageUtil]; [EnvironmentUtil]. LCC (Lack of Component Cohesion) = 0.7
project-1-team-8,com.sismics.util,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.file.rss; com.sismics.reader.core.model.jpa; com.sismics.reader.core.util.sanitizer.
project-1-team-8,com.sismics.util.jpa,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DialectUtil; DbOpenHelper; EMF; SessionUtil; SuppliedConnectionProviderConnectionHelper]; [ManagedProviderConnectionHelper]; [ResultMapper; QueryParam; BaseDao]. LCC (Lack of Component Cohesion) = 0.33
project-1-team-8,com.sismics.reader.agent.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.util
project-1-team-8,com.sismics.reader.agent,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.agent.ui
project-1-team-8,com.sismics.reader.agent,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.agent; com.sismics.reader.agent.ui; com.sismics.reader.agent
project-1-team-8,com.sismics.reader.agent,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.sismics.reader.agent; com.sismics.reader.agent.deployer; com.sismics.reader.agent
project-1-team-8,com.sismics.reader.agent.deployer,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.sismics.reader.agent
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.rest.assembler; com.sismics.reader.core.util.jpa; com.sismics.security; com.sismics.reader.core.dao.jpa.dto.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.security; com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa.criteria; com.sismics.reader.core.dao.jpa.dto; com.sismics.reader.core.dao.jpa; com.sismics.security.
project-1-team-8,com.sismics.reader.rest.resource,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.sismics.reader.core.model.jpa; com.sismics.reader.core.dao.jpa; com.sismics.reader.core.model.context; com.sismics.reader.core.event.
